control,layer,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse
main,19,0.990191613333186,0.9951022781302207,0.0051857959241746795,0.9920073494982089,0.9960020008756586,0.004581700323940767
main,20,0.9905132296523547,0.9952551203083401,0.005015754035151669,0.9925604940718739,0.9962772124765951,0.004264616188736988
main,21,0.991032783565927,0.9955177786322348,0.004741060483712902,0.9929651816745356,0.9964768495340732,0.004032633404078152
main,22,0.9914170975862563,0.9957073655581967,0.00453786966875752,0.9925377401202945,0.9962679145125115,0.004277659645009525
main,23,0.9918517570982563,0.9959312938763042,0.004308060669346845,0.99326111689809,0.9966322964266937,0.003862991742739301
main,24,0.9921086377813447,0.9960465584361801,0.004172245183619071,0.9932176813012202,0.9966199255761273,0.003887890728151504
within_scenario_family,0,-5.7230256166773685e-05,nan,0.5287406466295443,-0.0015597963697999706,nan,0.5741333043957378
within_scenario_family,1,0.3081988996343109,0.6592492582689923,0.3657624284689073,0.2894512280493615,0.641360902440085,0.4073143868723429
within_scenario_family,2,0.6130795910685842,0.7984773843794337,0.20456883968546558,0.628143529773967,0.8012287692885758,0.2131626936161284
within_scenario_family,3,0.7142174042401126,0.8509280230706686,0.15109622720176394,0.7117587019840136,0.8482454236948219,0.16523120186438914
within_scenario_family,4,0.7200106353152547,0.8521323001902585,0.14803328574994287,0.7281689803317613,0.8587931029660139,0.15582418755730978
within_scenario_family,5,0.7846312018377191,0.8887673951385393,0.11386772092531457,0.8000683516054878,0.8968950336686772,0.11460865178702298
within_scenario_family,6,0.8246052734149748,0.9099987148633878,0.0927330140158311,0.8400562856610287,0.917821798908792,0.09168600173808901
within_scenario_family,7,0.8266488497948717,0.9118534334712897,0.09165255395429361,0.8671090884601514,0.9322294801298883,0.07617827556884502
within_scenario_family,8,0.822803709561207,0.9097247711199083,0.09368551954068154,0.8597265075327645,0.9281963795457334,0.0804102601175186
within_scenario_family,9,0.8516374348284782,0.9248607003097709,0.07844082945564466,0.888396553582662,0.9431830969527663,0.06397546677271061
within_scenario_family,10,0.8721456148842467,0.9346457627643691,0.06759794161301133,0.8985942244547058,0.9486066490108874,0.05812976240625367
within_scenario_family,11,0.8799554943768098,0.9391957352229305,0.06346877719315223,0.8903133521913471,0.944275124279714,0.06287668273300143
within_scenario_family,12,0.8961606347223251,0.948029930996331,0.05490095114702131,0.9050834256468715,0.9524940639879567,0.05440989811372646
within_scenario_family,13,0.9101662014261185,0.9552918197373436,0.04749606253531656,0.9110973487365193,0.9557319937012126,0.0509624818452659
within_scenario_family,14,0.9507939225291294,0.9755102195358764,0.026015764331194537,0.9561772810001976,0.9783085381738491,0.025120898979927427
within_scenario_family,15,0.9743121381854314,0.9874229868917228,0.01358143939710955,0.9736783433515908,0.9869160147431869,0.015088604558106181
within_scenario_family,16,0.9888587302155006,0.9944445955920813,0.005890505075015999,0.9898249364495565,0.9949020228491183,0.0058327449642316094
within_scenario_family,17,0.9900160822340558,0.9950093964831106,0.0052786010397718325,0.9916228068396389,0.9958040490197485,0.00480213523760858
within_scenario_family,18,0.9903097250543913,0.9951593373365764,0.00512334903018177,0.991353228687589,0.9956673525629937,0.004956667993206672
within_scenario_family,19,0.990191613333186,0.9951022781302207,0.0051857959241746795,0.9920073494982089,0.9960020008756586,0.004581700323940767
within_scenario_family,20,0.9905132296523547,0.9952551203083401,0.005015754035151669,0.9925604940718739,0.9962772124765951,0.004264616188736988
within_scenario_family,21,0.991032783565927,0.9955177786322348,0.004741060483712902,0.9929651816745356,0.9964768495340732,0.004032633404078152
within_scenario_family,22,0.9914170975862563,0.9957073655581967,0.00453786966875752,0.9925377401202945,0.9962679145125115,0.004277659645009525
within_scenario_family,23,0.9918517570982563,0.9959312938763042,0.004308060669346845,0.99326111689809,0.9966322964266937,0.003862991742739301
within_scenario_family,24,0.9921086377813447,0.9960465584361801,0.004172245183619071,0.9932176813012202,0.9966199255761273,0.003887890728151504
global,0,-0.00030018470202897163,nan,0.5660523733658177,-0.0013329733923119758,nan,0.4947780507240315
