control,layer,val_r2,val_pearson_r,val_mse,test_r2,test_pearson_r,test_mse
within_scenario_family,19,0.9875300209273341,0.9937495115983748,0.003973472135130756,0.9864113686490529,0.9932046492059423,0.004112573751411316
within_scenario_family,20,0.989897963896633,0.994942684548779,0.0032189435708677877,0.9894679871243689,0.9947201230333599,0.003187493911874191
within_scenario_family,21,0.990290351349563,0.9951355169319646,0.003093912037029066,0.9898311377731496,0.9949041393018335,0.0030775870502181405
within_scenario_family,22,0.9906705962290621,0.9953252091982592,0.0029727496497939905,0.9903914394045296,0.9951857920896313,0.0029080128140368507
within_scenario_family,23,0.9910599641641825,0.9955271953030292,0.002848680264312351,0.9905777218173106,0.9952787479617559,0.002851634791749871
within_scenario_family,24,0.9922374061511718,0.9961114890996529,0.0024734965612145136,0.9917860136962361,0.9958905264404376,0.002485947524432393
global,0,-1.1173209115034055e-05,nan,0.323121577848827,-0.000142327889448568,nan,0.31575513436217595
global,1,-0.43127599937418437,0.014096479174045112,0.46247099196984026,-0.5072754980574583,-0.03262582676231719,0.4758622489403885
global,2,-0.3959052995132839,-0.0190295921617197,0.4510420833187552,-0.39550558985387774,-0.007002395783070506,0.44057534886793137
global,3,-0.33940479896392795,0.0028394098018315107,0.43278575641375694,-0.37695065409596507,-0.003579506129439954,0.4347173663888927
global,4,-0.2789044192129895,0.03360206132085053,0.413236996670561,-0.33610750496751796,-0.004983574634474148,0.42182276760909515
global,5,-0.3160748748591502,-0.0005351938364285323,0.42524743875312737,-0.33696404585660344,-0.0007519473836043165,0.42209318630449283
global,6,-0.3364392034691799,0.0024490728715218435,0.4318275192248171,-0.3339178482306071,0.010494888311033507,0.421131470642763
global,7,-0.32694235425238327,-0.010745351640447659,0.4287589166074321,-0.34448590917751254,0.006221185415847493,0.4244679152778776
global,8,-0.36990075110330944,-0.020677906278403324,0.4426395464885791,-0.36720511409884926,-0.02366244927876714,0.43164060000733684
global,9,-0.3713587899983444,-0.023809683513314056,0.4431106650530015,-0.3625027001521264,-0.009139854478613483,0.43015599995975423
global,10,-0.3720906934561481,-0.013042306831686916,0.44334715621075493,-0.35078970826616307,-0.0009162767950122703,0.4264580889488884
global,11,-0.33997705660217425,-0.010284629843770994,0.43297066313876165,-0.35020985987407705,-0.008850870990350963,0.4262750248970557
global,12,-0.3328617423749882,0.010888813907689811,0.43067157726695027,-0.3440877014424062,-0.0012721732242700805,0.42434219703418735
global,13,-0.3084993944949086,0.026597046914467893,0.42279966493435955,-0.3677073802117663,-0.021508839943578495,0.431799170542297
global,14,-0.31319089422513713,0.02461992758142019,0.42431557279211285,-0.3750207455187571,-0.024111141198588485,0.4341080745660089
global,15,-0.38231724502496367,-0.020752974009661026,0.4466515387690657,-0.36602969824593923,-0.005783796590996288,0.4312695092333365
global,16,-0.36140780964934005,-0.011207045804797835,0.4398953245071609,-0.31708697768472005,0.020280598157713676,0.41581779313661876
global,17,-0.3507269104726032,-0.01808614229094309,0.4364441340732019,-0.35290792913377844,0.0010844025176388618,0.42712683288263836
global,18,-0.31494706686596685,0.012336034993945186,0.42488302372654474,-0.332155945863305,0.016964205026887166,0.4205752200940091
global,19,-0.27555006517416114,0.02719715428744749,0.41215314461097696,-0.30198024337529095,0.025749260747586912,0.41104844302650645
global,20,-0.2908948089428425,0.019095966825631097,0.4171113070306137,-0.3073108697064386,0.04725059532439537,0.4127313761316156
global,21,-0.31462872443105794,0.005672628762965777,0.4247801615659812,-0.29505810418426703,0.03934541898085137,0.40886305307811
global,22,-0.31927974987761787,-0.0008975607603830333,0.42628299145545606,-0.2840703071275432,0.05632749644870111,0.4053940934718192
global,23,-0.3601692118728719,-0.003935872122853757,0.43949511131097413,-0.3078145526818772,0.043839619857620984,0.41289039398452576
global,24,-0.3605237337285181,-0.021394950799752257,0.43960966369243476,-0.29119037148196103,0.046895054967858014,0.40764197041313494
permuted_alignment,0,-0.00014362141612966894,nan,0.3138144958250957,-0.002981606712191276,nan,0.3099177086275133
permuted_alignment,1,-0.4269729657411836,0.020454397578380048,0.44774049667591986,-0.49461463243126036,0.0018202709339923706,0.46183054511105115
permuted_alignment,2,-0.4016413238768659,-0.028105409387783078,0.4397922018012128,-0.36409925185289604,0.04457121201587208,0.42150176199199885
permuted_alignment,3,-0.37003923907206504,-0.001375402167575804,0.4298764336078423,-0.3500022760314694,0.024056634054256832,0.4171458471717107
permuted_alignment,4,-0.3333028625400216,0.009499856232692323,0.41834968161644254,-0.37344033861366044,-0.011366499952059527,0.4243881242000524
