soc,profession,soc_major_title,onet_action,abstain_variant,k_man,n,rate_man
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Inspect sample workpieces to verify conformance with specifications, using instruments such as gauges, micrometers, and dial indicators.",with_abstain,3,12,0.25
51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Inspect sample workpieces to verify conformance with specifications, using instruments such as gauges, micrometers, and dial indicators.",without_abstain,3,4,0.75
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Compute dimensions, tolerances, and angles of workpieces or machines, according to specifications and knowledge of metal properties and shop mathematics.",with_abstain,2,12,0.16666666666666666
51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Compute dimensions, tolerances, and angles of workpieces or machines, according to specifications and knowledge of metal properties and shop mathematics.",without_abstain,2,4,0.5
51-4041.00,Machinists,Production Occupations,Monitor the feed and speed of machines during the machining process.,with_abstain,1,12,0.08333333333333333
51-4041.00,Machinists,Production Occupations,Monitor the feed and speed of machines during the machining process.,without_abstain,4,4,1.0
51-4051.00,Metal-Refining Furnace Operators and Tenders,Production Occupations,"Regulate supplies of fuel and air, or control flow of electric current and water coolant to heat furnaces and adjust temperatures.",with_abstain,4,12,0.3333333333333333
51-4051.00,Metal-Refining Furnace Operators and Tenders,Production Occupations,"Regulate supplies of fuel and air, or control flow of electric current and water coolant to heat furnaces and adjust temperatures.",without_abstain,2,4,0.5
51-4052.00,"Pourers and Casters, Metal",Production Occupations,"Examine molds to ensure they are clean, smooth, and properly coated.",with_abstain,0,12,0.0
51-4052.00,"Pourers and Casters, Metal",Production Occupations,"Examine molds to ensure they are clean, smooth, and properly coated.",without_abstain,1,4,0.25
51-4061.00,"Model Makers, Metal and Plastic",Production Occupations,"Drill, countersink, and ream holes in parts and assemblies for bolts, screws, and other fasteners, using power tools.",with_abstain,2,12,0.16666666666666666
51-4061.00,"Model Makers, Metal and Plastic",Production Occupations,"Drill, countersink, and ream holes in parts and assemblies for bolts, screws, and other fasteners, using power tools.",without_abstain,4,4,1.0
51-4062.00,"Patternmakers, Metal and Plastic",Production Occupations,"Design and create templates, patterns, or coreboxes according to work orders, sample parts, or mockups.",with_abstain,5,12,0.4166666666666667
51-4062.00,"Patternmakers, Metal and Plastic",Production Occupations,"Design and create templates, patterns, or coreboxes according to work orders, sample parts, or mockups.",without_abstain,2,4,0.5
51-4071.00,Foundry Mold and Coremakers,Production Occupations,Sprinkle or spray parting agents onto patterns and mold sections to facilitate removal of patterns from molds.,with_abstain,0,12,0.0
51-4071.00,Foundry Mold and Coremakers,Production Occupations,Sprinkle or spray parting agents onto patterns and mold sections to facilitate removal of patterns from molds.,without_abstain,2,4,0.5
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Observe continuous operation of automatic machines to ensure that products meet specifications and to detect jams or malfunctions, making adjustments as necessary.",with_abstain,6,12,0.5
51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Observe continuous operation of automatic machines to ensure that products meet specifications and to detect jams or malfunctions, making adjustments as necessary.",without_abstain,2,4,0.5
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Select, install, and adjust alignment of drills, cutters, dies, guides, and holding devices, using templates, measuring instruments, and hand tools.",with_abstain,1,12,0.08333333333333333
51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,"Select, install, and adjust alignment of drills, cutters, dies, guides, and holding devices, using templates, measuring instruments, and hand tools.",without_abstain,4,4,1.0
