control,layer,val_accuracy,val_balanced_accuracy,val_roc_auc,test_accuracy,test_balanced_accuracy,test_roc_auc
global,4,0.46578947368421053,0.45630875523841885,0.44229952429493713,0.5118421052631579,0.5069351604278075,0.5105768159536542
global,5,0.48289473684210527,0.47438837920489296,0.45407180881187,0.5013157894736842,0.4971312388591801,0.499902517825312
global,6,0.4855263157894737,0.48183542870087215,0.47192490655793407,0.5223684210526316,0.5175189393939394,0.520248440285205
global,7,0.5013157894736842,0.49916468456223806,0.4834281911881301,0.5,0.49941510695187163,0.5095671791443851
global,8,0.5092105263157894,0.5024776305357345,0.4976427115188583,0.5026315789473684,0.49952651515151514,0.4996936274509804
global,9,0.4644736842105263,0.46626175104768375,0.46569543549665876,0.4842105263157895,0.48197972370766484,0.49094808377896615
global,10,0.4513157894736842,0.45717238645373204,0.4763209310227659,0.475,0.47262143493761144,0.46680035650623886
global,11,0.46710526315789475,0.4689517499150526,0.4659785932721713,0.4842105263157895,0.4813948306595366,0.47768354500891264
global,12,0.48289473684210527,0.4807311133763733,0.4835202174651716,0.506578947368421,0.5022281639928698,0.4846535204991087
global,13,0.48947368421052634,0.4892400045305244,0.48974260958205906,0.5197368421052632,0.5152629233511586,0.5065243426916222
global,14,0.4934210526315789,0.4914911088458489,0.4853041114509004,0.4881578947368421,0.48136697860962563,0.5060021167557932
global,15,0.4697368421052632,0.4763987994110318,0.4756342734171481,0.49736842105263157,0.49793894830659535,0.48803754456327986
global,16,0.49078947368421055,0.4927653188356552,0.5037164458036018,0.4723684210526316,0.4705603832442068,0.4711174242424243
global,17,0.48289473684210527,0.4914344772907464,0.4972321327443652,0.4881578947368421,0.4854612299465241,0.4777322860962566
global,18,0.4986842105263158,0.5024209989806321,0.5050614452372862,0.4881578947368421,0.4854612299465241,0.49139371657754005
global,19,0.5184210526315789,0.5204156756144525,0.518992807792502,0.4855263157894737,0.48320521390374327,0.47559464126559714
global,20,0.49605263157894736,0.4969560539132405,0.499808868501529,0.5026315789473684,0.49991644385026734,0.5238692067736185
global,21,0.5223684210526316,0.5187025710726016,0.5197714916751615,0.48947368421052634,0.4866867201426025,0.5067123440285205
global,22,0.4842105263157895,0.4846528485672217,0.4978621587948805,0.4868421052631579,0.4844307040998218,0.4974654634581105
global,23,0.48289473684210527,0.4866774266621362,0.4924680031713671,0.5013157894736842,0.4988859180035651,0.509518438057041
global,24,0.48026315789473684,0.4839874277947673,0.47248414316457127,0.5078947368421053,0.5052083333333333,0.5087803587344029
permuted_alignment,0,0.4421052631578947,0.5,0.5,0.45394736842105265,0.5,0.5
permuted_alignment,1,0.5092105263157894,0.5070193171608266,0.5138771900269542,0.4868421052631579,0.48440719399336474,0.48796926837785926
permuted_alignment,2,0.49605263157894736,0.48904986522911054,0.48788465858041324,0.5052631578947369,0.5022524882137245,0.49041382922996335
permuted_alignment,3,0.5368421052631579,0.5382693171608266,0.5494861859838275,0.5131578947368421,0.5085035795355335,0.494436877946569
permuted_alignment,4,0.5157894736842106,0.5126066936208445,0.5287792003593891,0.4921052631578947,0.4902042954426401,0.4883534136546185
permuted_alignment,5,0.5026315789473684,0.4974168912848158,0.5105008984725966,0.5157894736842106,0.508957569408067,0.5142308363890343
permuted_alignment,6,0.5263157894736842,0.5214229559748428,0.5306112421383647,0.5263157894736842,0.5264187183516675,0.5222420115243582
permuted_alignment,7,0.5171052631578947,0.5181098382749326,0.5161444294699011,0.5197368421052632,0.5223502706478086,0.5186519993015539
permuted_alignment,8,0.5171052631578947,0.5128593890386344,0.5212755503144654,0.5092105263157894,0.5034223851929457,0.4938362144229091
permuted_alignment,9,0.5118421052631579,0.5059804582210242,0.5108378256963163,0.5039473684210526,0.5003143006809848,0.5109341714684827
permuted_alignment,10,0.5342105263157895,0.5226302785265049,0.5326959793351304,0.5144736842105263,0.5106862231534836,0.5057237646237123
